sampleID	subject	time
idx1	1	0.0
idx2	1	0.25
idx3	1	1.25
idx4	1	2.25
idx5	1	3.25
idx6	1	5.25
idx7	1	7.25
idx8	1	9.25
idx9	1	13.25
idx10	1	16.25
idx11	1	20.25
idx12	1	23.25
idx13	1	27.25
idx14	1	28.0
idx15	1	28.25
idx16	1	29.25
idx17	1	30.25
idx18	1	31.25
idx19	1	33.25
idx20	1	35.25
idx21	1	37.25
idx22	1	41.25
idx23	1	44.25
idx24	1	48.25
idx25	1	51.25
idx26	1	55.25
idx27	2	0.0
idx28	2	0.25
idx29	2	1.25
idx30	2	2.25
idx31	2	3.25
idx32	2	5.25
idx33	2	7.25
idx34	2	9.25
idx35	2	13.25
idx36	2	16.25
idx37	2	20.25
idx38	2	23.25
idx39	2	27.25
idx40	2	28.0
idx41	2	28.25
idx42	2	29.25
idx43	2	30.25
idx44	2	31.25
idx45	2	33.25
idx46	2	35.25
idx47	2	37.25
idx48	2	41.25
idx49	2	44.25
idx50	2	48.25
idx51	2	51.25
idx52	2	55.25
idx53	3	0.0
idx54	3	0.25
idx55	3	1.25
idx56	3	2.25
idx57	3	3.25
idx58	3	5.25
idx59	3	7.25
idx60	3	9.25
idx61	3	13.25
idx62	3	16.25
idx63	3	20.25
idx64	3	23.25
idx65	3	27.25
idx66	3	28.0
idx67	3	28.25
idx68	3	29.25
idx69	3	30.25
idx70	3	31.25
idx71	3	33.25
idx72	3	35.25
idx73	3	37.25
idx74	3	41.25
idx75	3	44.25
idx76	3	48.25
idx77	3	51.25
idx78	3	55.25
idx79	4	0.0
idx80	4	0.25
idx81	4	1.25
idx82	4	2.25
idx83	4	3.25
idx84	4	5.25
idx85	4	7.25
idx86	4	9.25
idx87	4	13.25
idx88	4	16.25
idx89	4	20.25
idx90	4	23.25
idx91	4	27.25
idx92	4	28.0
idx93	4	28.25
idx94	4	29.25
idx95	4	30.25
idx96	4	31.25
idx97	4	33.25
idx98	4	35.25
idx99	4	37.25
idx100	4	41.25
idx101	4	44.25
idx102	4	48.25
idx103	4	51.25
idx104	4	55.25
idx105	5	0.0
idx106	5	0.25
idx107	5	1.25
idx108	5	2.25
idx109	5	3.25
idx110	5	5.25
idx111	5	7.25
idx112	5	9.25
idx113	5	13.25
idx114	5	16.25
idx115	5	20.25
idx116	5	23.25
idx117	5	27.25
idx118	5	28.0
idx119	5	28.25
idx120	5	29.25
idx121	5	30.25
idx122	5	31.25
idx123	5	33.25
idx124	5	35.25
idx125	5	37.25
idx126	5	41.25
idx127	5	44.25
idx128	5	48.25
idx129	5	51.25
idx130	5	55.25
